2024-02-02 14:19:01 [INFO]: Loading Overrides...
2024-02-02 14:19:01 [INFO]: Loading World Types...
2024-02-02 14:19:01 [INFO]: - World Type for 'world' set to 'NORMAL'
2024-02-02 14:19:01 [INFO]: - World Type for 'world_nether' set to 'NETHER'
2024-02-02 14:19:01 [INFO]: - World Type for 'world_the_end' set to 'NORMAL'
2024-02-02 14:19:01 [INFO]: Loading Defaults...
2024-02-02 14:19:01 [INFO]: Loading Custom Worlds...
2024-02-02 14:19:01 [INFO]: [WARN] - Custom World 'custom_world_1' was not registered because world does NOT exist
2024-02-02 14:19:01 [INFO]: [WARN] - Custom World 'other_custom_world' was not registered because world does NOT exist
2024-02-02 14:19:08 [INFO]: Database PLAYERS:Players configured and loaded!
2024-02-02 14:19:08 [INFO]: Database CHUNK_DATA:ChunkData configured and loaded!
2024-02-02 14:19:08 [INFO]: Database QUEUE:Queue configured and loaded!
2024-02-02 14:19:08 [INFO]: Database COOLDOWN:world configured and loaded!
2024-02-02 14:19:08 [INFO]: Database COOLDOWN:world_nether configured and loaded!
2024-02-02 14:19:08 [INFO]: Database COOLDOWN:world_the_end configured and loaded!
2024-02-02 14:19:08 [INFO]: Attempting to queue up some more safe locations...
2024-02-02 14:19:12 [INFO]: Queue position generated: id= default_world, database_ID= 89, location= x: -315, y: 129, z: -700, world: world
2024-02-02 14:19:13 [INFO]: Queue position generated: id= default_world, database_ID= 90, location= x: -963, y: 112, z: -999, world: world
2024-02-02 14:19:15 [INFO]: Queue position generated: id= default_world, database_ID= 91, location= x: 356, y: 63, z: 207, world: world
2024-02-02 14:19:18 [INFO]: Queue position generated: id= default_world, database_ID= 92, location= x: -853, y: 72, z: 145, world: world
2024-02-02 14:19:19 [INFO]: Queue position generated: id= default_world, database_ID= 93, location= x: -909, y: 64, z: 277, world: world
2024-02-02 14:19:23 [INFO]: Queue position generated: id= default_world, database_ID= 94, location= x: -749, y: 70, z: -353, world: world
2024-02-02 14:19:26 [INFO]: Queue position generated: id= default_world, database_ID= 95, location= x: 389, y: 63, z: -782, world: world
2024-02-02 14:19:27 [INFO]: Queue position generated: id= default_world, database_ID= 96, location= x: 548, y: 65, z: -43, world: world
2024-02-02 14:19:31 [INFO]: Queue position generated: id= default_world, database_ID= 97, location= x: 222, y: 73, z: -141, world: world
2024-02-02 14:19:33 [INFO]: Queue position generated: id= default_world, database_ID= 98, location= x: -513, y: 71, z: 136, world: world
2024-02-02 14:19:34 [INFO]: Queue position generated: id= default_world, database_ID= 99, location= x: -784, y: 85, z: -119, world: world
2024-02-02 14:19:37 [INFO]: Queue position generated: id= default_world, database_ID= 100, location= x: -670, y: 70, z: -573, world: world
2024-02-02 14:19:39 [INFO]: Queue position generated: id= default_world, database_ID= 101, location= x: 528, y: 63, z: -263, world: world
2024-02-02 14:19:44 [INFO]: Queue position generated: id= default_world, database_ID= 102, location= x: -365, y: 70, z: 956, world: world
2024-02-02 14:19:45 [INFO]: Queue position generated: id= default_world, database_ID= 103, location= x: 823, y: 64, z: 186, world: world
2024-02-02 14:19:52 [INFO]: Queue position generated: id= default_world, database_ID= 104, location= x: 859, y: 82, z: -718, world: world
2024-02-02 14:19:53 [INFO]: Queue position generated: id= default_world, database_ID= 105, location= x: -970, y: 71, z: -502, world: world
2024-02-02 14:19:54 [INFO]: Queue position generated: id= default_world, database_ID= 106, location= x: -481, y: 74, z: 142, world: world
2024-02-02 14:19:57 [INFO]: Queue position generated: id= default_world, database_ID= 107, location= x: 311, y: 66, z: -950, world: world
2024-02-02 14:19:58 [INFO]: Queue position generated: id= default_world, database_ID= 108, location= x: 870, y: 72, z: -320, world: world
2024-02-02 14:20:02 [INFO]: Queue position generated: id= default_world, database_ID= 109, location= x: 815, y: 64, z: -609, world: world
2024-02-02 14:20:03 [INFO]: Queue position generated: id= default_world, database_ID= 110, location= x: -551, y: 90, z: -196, world: world
2024-02-02 14:20:04 [INFO]: Max attempts to create a Queue reached for default_world (amount: 22)
2024-02-02 14:20:04 [INFO]: Queueing paused, max queue limit reached!
2024-02-02 14:45:46 [INFO]: -Removed a queue Location{world=CraftWorld{name=world},x=389.5,y=63.0,z=-781.5,pitch=13.041691,yaw=-102.252525}
2024-02-02 14:45:50 [INFO]: -Removed a queue Location{world=CraftWorld{name=world},x=222.5,y=73.0,z=-140.5,pitch=24.035702,yaw=-41.785385}
2024-02-02 15:15:04 [INFO]: -Removed a queue Location{world=CraftWorld{name=world},x=859.5,y=82.0,z=-717.5,pitch=4.4533195,yaw=169.26227}
